Protein1	Protein2	Interaction	Prediction
A0A060N411_BURMU	pdb2lw4	0	0.001
BxATG1_5	pdb7qcb	0	0.162
BxPel1_4	pdb2mbl	0	0.003
cyp_33C9_4	pdb6jxu	0	0.202
BxCYP33D3_1	pdb2l05	0	0.011
BxPel1_3	pdb6nzl	0	0.002
A0A1I7RL37_BURXY	pdb6e4h	0	nan
BxATG16_1	pdb3sdt	0	0
BxATG9_4	pdb6xr7	0	0.126
I0QYY0_9GAMM	pdb2lnu	1	0.914
BxCYP33C4_5	pdb6kna	1	0.747
Bx_Prx_4	pdb6nzl	0	0.007
BxATG9_2	pdb6jxw	0	0.17
Bx_tlp_1_1	pdb8ftw	0	0.049
BxATG1_3	pdb3sdq	0	0.098
BxCYP33C4_1	pdb1xes	0	nan
BxATG9_3	pdb2l3a	0	nan
A0A1I7S6H9_BURXY	pdb2kif	0	0.085
SapB3_1	pdb2l9p	0	0.044
I0QYP7_9GAMM	pdb6nzl	0	0.004
BxCYP33C4_3	pdb2kt1	0	0.334
BxATG1_1	pdb2l0d	0	0.004
BxPel1_2	pdb2l5q	0	0.023
I0QYY0_9GAMM	pdb4lej	1	0.841
Bx_cpl_3_1	pdb5nce	0	0.311
A0A1I7RJ71_BURXY	pdb2l0d	0	0
BxSapB1_4	pdb6jxw	0	0.11
A0A1I7S6H9_BURXY	pdb2kt7	0	0.088
BxSapB1	pdb8ftw	1	0.984
BxATG16_3	pdb2n3j	0	nan
A0A1I7RL37_BURXY	pdb2kpt	0	0.434
A0A1I7RKM9_BURXY	pdb3s9v	0	nan
BxATG8_5	pdb3hbd	0	0
BxPel1_4	pdb2lnb	0	0.004
BxPel1_4	pdb6xry	0	0.015
A0A060N411_BURMU	pdb2n3k	0	0.001
A0A1I7SF60_BURXY	pdb5ks6	0	0
Bx_cpl_1_3	pdb6xry	0	0.002
BxPel1_3	pdb2mh2	0	0.005
Bx_tlp_1_5	pdb6xry	1	0.981
I0QMH2_9GAMM	pdb2n69	0	0.314
BxCYP33D3_4	pdb2kim	0	0.053
BxATG8_5	pdb8ftw	0	0
BxATG1_3	pdb2kt8	0	0.076
Bx_cpl_3_5	pdb2loy	0	0.118
BxATG16_2	pdb2lxu	0	0.005
Bx_tlp_1_4	pdb4lej	1	0.91
I0QM84_9GAMM	pdb6pri	0	0.107
cyp_33C9_3	pdb6e4j	0	0.276
I0QWV1_9GAMM	pdb2ma6	0	0.029
BxATG9_3	pdb5zau	0	0.03
cyp_33C9_2	pdb5krw	1	0.86
BxATG9_4	pdb7n99	0	0.042
A0A1I7S5S3_BURXY	pdb7wcg	0	0.003
BxATG1_3	pdb2lnb	0	0.065
A0A1I7RIV0_BURXY	pdb3hbh	0	0.003
SapB3_1	pdb2kzv	0	0.017
I4N5T3_9PSED	pdb2l7q	0	0.11
SapB3_1	pdb2kt7	0	0.04
SapB3_4	pdb2lak	0	0.002
A0A1I7RJ71_BURXY	pdb6pqe	0	0
BxATG9_3	pdb2llf	0	0.023
A0A1I7S6H9_BURXY	pdb2kt1	0	0.135
Bx_Prx_2	pdb2kim	0	0.016
A0A1I7S5S3_BURXY	pdb7c1m	0	nan
A0A1I7RIV0_BURXY	pdb6wlf	0	nan
BxATG16	pdb2lek	1	0.973
Bx_tlp_1_3	pdb2ko1	0	nan
A0A1I7SCA3_BURXY	pdb2llf	0	0
Bx_cpl_1_4	pdb2mv0	0	0.006
BxCYP33D3_1	pdb5uke	0	0.007
Bx_Prx_5	pdb2mk2	1	0.77
BxSapB1	2kcx	1	0.994
I0QT18_9GAMM	pdb2kz5	0	0.013
BxPel1_4	pdb2lze	0	0.004
cyp_33C9_1	pdb7wcg	1	0.844
Bx_Prx_2	pdb7lu8	0	0.032
Bx_cpl_1_1	pdb5uke	0	0.014
I4MYK4_9PSED	pdb2kzx	0	0.059
BxATG9_2	2lla	0	0.31
A0A1I7RL98_BURXY	pdb8ftw	0	0
BxATG9_2	pdb2nsx	0	nan
BxCYP33C9_4	pdb2mv0	0	0
Bx_cpl_2_4	pdb6cgh	0	0.272
BxATG9_3	pdb2n75	0	0.016
cyp_33C9_3	pdb7m5t	0	0.37
BxCYP33C4_4	pdb6pqe	0	0.004
A0A1I7RKM9_BURXY	pdb7qcc	0	0.269
I4N5X7_9PSED	pdb6prq	0	0.004
I4MYK4_9PSED	pdb6iwj	0	nan
A0A1I7SCA3_BURXY	pdb2mm5	0	0
A0A7I8X2Z5_BURXY	pdb7lns	0	0.002
BxATG16_3	pdb6e4h	0	nan
Bx_tlp_1_4	pdb5ks6	1	0.936
Bx_tlp_1_5	pdb2kif	1	0.94
BxATG1_3	pdb2kz5	0	0.084
Bx_cpl_2_2	pdb2lni	0	0.286
BxATG16_2	pdb5uke	0	0.005
I4N8B0_9PSED	pdb2kl6	0	0.021
A0A1I7RL98_BURXY	pdb3sdr	0	0
BxATG16_3	pdb2kzv	1	0.893
BxPel1_3	pdb2lnz	0	nan
BxPel1_1	pdb2m01	0	0
BxPel1_3	pdb3sdt	0	0.004
I4MYK4_9PSED	pdb2lnb	0	0.039
SapB3_2	6dxa	0	nan
Bx_cpl_3_5	pdb6xr6	0	0.191
SapB3_2	pdb2n3j	0	nan
cyp_33C9_5	pdb7jyn	1	0.54
SapB3_5	pdb2l9p	0	0.422
BxATG1_5	pdb2kd1	0	0.166
BxPel1_5	pdb6o6w	0	0.08
A0A1I7RYC6_BURXY	pdb2l05	0	0.03
BxPel1_5	2kcx	0	0.393
A0A1I7SCA3_BURXY	pdb5krw	0	0
A0A1I7RL37_BURXY	pdb2mm6	0	0.346
A0A1I7S5S3_BURXY	pdb2l07	0	0.013
I4N4M3_9PSED	pdb2l0a	0	0.001
BxATG16_5	pdb2mbl	0	0
BxPel1_1	pdb2nbn	0	0
Bx_cpl_3_3	pdb6pqm	1	0.907
BxATG16_1	pdb2mm5	0	0
A0A1I7RKM9_BURXY	pdb6kna	0	0.461
Bx_cpl_2_1	pdb2lni	0	0.063
I4N5X7_9PSED	pdb7qcb	0	0.004
BxPel1_4	pdb3sdr	0	0.006
I0QYP7_9GAMM	pdb3sdv	0	0.005
A0A1I7RJ71_BURXY	6dxa	0	nan
BxATG9_3	pdb5krw	0	0.016
I4N4Q3_9PSED	pdb2ksh	0	0.005
A0A1I7SCA3_BURXY	pdb2kzv	0	0
cyp_33C9_2	pdb6nu4	1	0.84
BxATG8_1	6dxa	0	nan
BxPel1_5	pdb2lv2	0	0.126
I4MYK4_9PSED	pdb2n76	0	0.032
Bx_cpl_1_2	pdb2kvo	0	0.008
Bx_cpl_3_3	pdb3sdq	1	0.919
BxATG8_2	pdb2l05	0	0.024
A0A1I7RYC6_BURXY	pdb6tfb	0	nan
cyp_33C9_5	pdb6nu4	0	0.149
BxATG8_3	pdb2l5q	0	0.004
BxCYP33C4_1	pdb2lo0	0	nan
Bx_cpl_3_1	pdb6cgh	0	0.315
Bx_cpl_1_2	pdb2kd1	0	0.017
cyp_33C9_2	pdb6amv	1	0.918
A0A060N411_BURMU	pdb7lns	0	0.002
A0A1I7RL37_BURXY	pdb2lni	1	0.536
I4N5T3_9PSED	pdb2lnz	0	nan
BxATG1_4	pdb2lch	0	0
Bx_cpl_2_1	pdb6xr7	0	0.143
SapB3_1	pdb6nu4	0	0.02
I4N5T3_9PSED	pdb7wcg	0	0.051
cyp_33C9_3	pdb2lxu	0	0.284
BxATG16_5	pdb2lch	0	0
I0QNP5_9GAMM	pdb2n69	0	0.02
A0A1I7RYC6_BURXY	pdb2lio	0	0.019
BxATG1_1	pdb2kd1	0	0.006
A0A7I8WZ01_BURXY	pdb6xr7	0	0.001
cyp_33C9_5	pdb2kt7	0	0.262
Bx_cpl_1_3	pdb2mk2	0	0.002
BxATG9_1	pdb7sxb	0	0
I0QM84_9GAMM	pdb7jyn	0	0.306
BxCYP33C9_1	pdb2llf	0	0.297
Bx_cpl_1_1	pdb2lak	0	0.009
BxCYP33C9_1	pdb2n3j	0	nan
BxATG16	pdb5vso	1	0.953
BxPel1_3	pdb2ll8	0	0.003
I0QYY0_9GAMM	pdb2lmd	1	0.812
Bx_cpl_1_3	pdb7n99	0	0.001
Bx_Prx_4	pdb2lq3	0	0.009
BxATG1_5	pdb2l3a	0	nan
I4N4Q3_9PSED	pdb4lej	0	0.002
A0A1I7SF60_BURXY	pdb2mbm	0	0
A0A1I7S412_BURXY	pdb6amw	0	0
cyp_33C9_5	pdb2lnu	0	0.311
BxSapB1_4	pdb2n75	0	0.079
BxCYP33D3_3	pdb2nbn	1	0.592
BxATG9_2	pdb6j4i	0	0.17
cyp_33C9_3	pdb2l0d	0	0.261
BxCYP33C9_3	pdb2l3f	0	0
I4N5T3_9PSED	pdb6xr7	0	0.233
I4N4Q3_9PSED	pdb2kwb	0	0.004
Bx_cpl_2_5	pdb6prq	0	0.398
A0A7I8WZ01_BURXY	pdb2ltl	0	0
A0A1I7RT14_BURXY	pdb1qyc	0	nan
BxATG16_5	pdb2lmd	0	0
BxCYP33C9_3	pdb2l3a	0	nan
BxPel1_2	pdb2ma5	0	0.009
BxCYP33C4_5	pdb2n66	1	0.567
BxCYP33C4_1	pdb2l07	0	0.328
A0A1I7S6H9_BURXY	pdb6prp	0	0.086
BxCYP33D3_4	pdb6ppt	0	0.041
A0A1I7RKM9_BURXY	pdb6prj	0	0.341
Bx_cpl_2_5	pdb2lml	0	0.291
Bx_cpl_2_4	pdb2m16	0	0.428
BxCYP33D3_3	pdb7sxb	1	0.582
I0QM84_9GAMM	pdb2n3j	0	nan
BxATG8_4	pdb7wcg	0	0
A0A1I7RKV3_BURXY	pdb7mzx	0	0
SapB3_1	pdb2lv2	0	0.034
I0QWV1_9GAMM	pdb2kw6	0	0.032
Bx_cpl_2_5	pdb6xr6	1	0.556
BxATG8_5	pdb2l05	0	0
Bx_Prx_3	pdb7wcg	0	0.258
A0A1I7SCF8_BURXY	pdb2m16	1	0.983
cyp_33C9_2	pdb6amw	1	0.919
I0QM84_9GAMM	pdb3sdu	0	0.131
Bx_cpl_1_4	pdb2lx7	0	0.008
SapB3_5	pdb7jyz	1	0.687
I0QYY0_9GAMM	pdb2llf	1	0.873
I0QNP5_9GAMM	pdb6ppt	0	0.017
A0A7I8WZ01_BURXY	pdb6e4j	0	0
Bx_cpl_3_2	pdb3s9v	0	nan
Bx_cpl_2_4	pdb2m8x	0	0.162
A0A1I7S161_BURXY	pdb2mv0	0	0
I4N4Q3_9PSED	pdb6amw	0	0.003
Bx_cpl_3_5	pdb5ks6	0	0.095
A0A1I7RYC6_BURXY	pdb5vso	0	0.011
BxSapB1	pdb2nsx	0	nan
BxPel1_3	2kyq	0	0.011
Bx_tlp_1_5	pdb2ltl	1	0.928
BxATG16_2	pdb7x5c	0	0.003
A0A060N411_BURMU	pdb3hbe	0	0.001
BxCYP33C4_4	pdb2kw6	0	0.002
SapB3_2	pdb7lns	0	0.052
BxATG1_3	pdb2lml	0	0.061
BxCYP33D3_5	pdb7wcg	0	0.186
I4N0B6_9PSED	pdb3hbh	0	0.008
A0A1I7S161_BURXY	pdb2mh2	0	0
I0QYP7_9GAMM	pdb7jyn	0	0.025
BxSapB1_2	pdb6ppt	0	0.449
BxATG1_3	pdb2lok	0	0.109
Bx_cpl_2_5	pdb2lna	0	0.303
BxCYP33C9_1	pdb3sdv	0	0.239
A0A7I8X2Z5_BURXY	pdb6iwj	0	nan
Bx_cpl_3_3	pdb7mzx	1	0.928
BxATG8_5	pdb2lso	0	0
I4N5X7_9PSED	pdb8ftw	0	0.005
I4N4M3_9PSED	pdb6pri	0	0.001
I0QM84_9GAMM	pdb5zau	0	0.125
Bx_cpl_1_5	pdb2lnu	0	0.265
BxPel1_2	pdb2n75	0	0.009
Bx_cpl_1_2	6dxa	0	nan
BxATG16_3	pdb2nsx	0	nan
Bx_cpl_1_4	pdb2ksi	0	0.015
I4N4Q3_9PSED	pdb2ksi	0	0.005
BxATG1_4	pdb2l08	0	0
BxCYP33C4_1	pdb2lnz	0	nan
SapB3_3	pdb2kpm	0	0.312
BxSapB1_2	pdb1xet	0	nan
BxATG1_2	pdb6prp	0	0
BxSapB1_2	pdb1xes	0	nan
BxCYP33D3_1	pdb2l3f	0	0.014
BxATG9_2	pdb8s9c	0	nan
I4N5T3_9PSED	pdb2lio	0	0.078
cyp_33C9_5	pdb2ma6	0	0.163
BxCYP33D3_3	pdb2kct	1	0.603
SapB3_2	pdb5kp0	0	0.025
BxATG8_4	pdb2m16	0	0
Bx_cpl_3_5	pdb2kim	0	0.068
I4N4M3_9PSED	pdb6cgh	0	0.002
BxPel1_2	pdb6e4j	0	0.013
Bx_cpl_1_3	pdb6j4i	0	0.001
Bx_Prx_1	pdb2lml	0	0.085
BxATG9_4	pdb2lxu	0	0.037
BxATG16_2	pdb2mv0	0	0.003
I0QYP7_9GAMM	pdb3s9v	0	nan
BxCYP33C9_5	pdb8s9c	0	nan
BxCYP33C4_5	pdb2lso	1	0.583
A0A1I7S161_BURXY	pdb2lo0	0	nan
A0A1I7SCF8_BURXY	pdb2l0c	1	0.952
BxCYP33D3_2	2kl7	0	0
BxATG1_1	pdb3hbe	0	0.003
A0A1I7RL98_BURXY	pdb6nzl	0	0
BxSapB1_3	pdb2lv2	0	0.097
Bx_tlp_1_5	pdb2lcg	1	0.954
I4N0B6_9PSED	pdb2mv0	0	0.007
I4N5T3_9PSED	2kyq	0	0.237
A0A1I7RL98_BURXY	pdb2mv0	0	0
BxSapB1_4	pdb3sae	0	0.143
I4MYK4_9PSED	pdb2l07	0	0.108
BxATG16	pdb2lso	1	0.963
I0QMH2_9GAMM	pdb6xr7	1	0.709
BxATG1_5	pdb7wcg	0	0.084
Bx_tlp_1_4	2kl7	1	0.977
BxPel1_3	pdb2lni	0	0.005
BxCYP33D3_1	pdb2lo0	0	nan
BxATG16_3	pdb2l07	1	0.977
I4N4Q3_9PSED	pdb2lfi	0	0.003
I4N4Q3_9PSED	pdb2lv2	0	0.003
Bx_cpl_3_2	pdb6nu4	0	0
A0A1I7S9L6_BURXY	pdb8ubh	0	0
A0A060N411_BURMU	pdb2l82	0	0.001
A0A7I8WZ01_BURXY	pdb7kix	0	0.001
BxSapB1_5	pdb2lv2	0	0.101
Bx_tlp_1_4	pdb5z55	1	0.879
BxCYP33C4_3	pdb2m16	0	0.4
I4N4M3_9PSED	pdb2mv0	0	0.001
BxCYP33C9_2	pdb6jxu	0	0.401
Bx_cpl_1_3	pdb2l9q	0	0.001
BxATG8_2	pdb2l0c	0	0.013
BxCYP33C9_3	pdb2kkq	0	0
SapB3_1	pdb2ko1	0	nan
A0A1I7RJ71_BURXY	pdb2kpm	0	0
A0A060N411_BURMU	pdb7y55	0	nan
BxPel1_2	pdb2krt	0	0.025
BxATG9_4	pdb6prq	0	0.047
BxCYP33D3_5	pdb5zau	0	0.305
A0A1I7SCA3_BURXY	pdb2mk2	0	0
Bx_cpl_3_4	pdb6j4i	1	0.91
I4N0B6_9PSED	pdb2lmd	0	0.006
BxATG1_1	pdb7qcc	0	0.003
A0A1I7S162_BURXY	pdb6j4i	0	0.002
BxCYP33D3_4	pdb7lns	0	0.1
Bx_cpl_3_1	pdb7mzz	0	0.273
A0A7I8WZ01_BURXY	pdb2kpt	0	0
BxCYP33D3_5	pdb2lio	0	0.266
Bx_tlp_1_1	pdb2ljw	0	0.025
BxCYP33C9_2	pdb8ftx	1	0.542
BxATG8_4	pdb2lnb	0	0
BxATG8_4	pdb2ma5	0	0
I0QT18_9GAMM	pdb6e4j	0	0.012
I4N5X7_9PSED	pdb2lze	0	0.003
Bx_Prx_4	2kcx	0	0.051
Bx_tlp_1_3	pdb2ma5	1	0.891
cyp_33C9_3	pdb8ftx	0	0.404
BxCYP33C4_4	pdb6xr7	0	0.011
BxSapB1_2	pdb2lni	1	0.678
BxCYP33C4_1	pdb7wcg	0	0.113
BxPel1_3	pdb2ksh	0	0.006
Bx_cpl_1_3	pdb2m8x	0	0
A0A1I7S5S3_BURXY	pdb2kz5	0	0.006
Bx_cpl_3_2	pdb2lcg	0	0
BxCYP33D3_3	pdb3hbh	1	0.632
A0A1I7RJ71_BURXY	pdb6kna	0	0
Bx_Prx_5	pdb2ksi	1	0.66
A0A1I7RJ71_BURXY	pdb2mbm	0	0
BxATG16	2kyq	1	0.993
I4N8B0_9PSED	pdb6tfb	0	nan
BxCYP33D3_3	pdb2ma5	1	0.577
BxATG16_1	pdb2ljw	0	0
I4MYK4_9PSED	pdb7mzx	0	0.067
Bx_Prx_1	pdb3sdu	0	0.134
A0A1I7RL37_BURXY	pdb7x5c	0	0.337
Bx_cpl_3_3	pdb2l05	1	0.932
BxATG16_1	pdb6pqm	0	0
BxPel1_3	pdb2kt7	0	0.004
Bx_cpl_3_1	pdb2lfi	0	0.277
BxATG1_4	pdb3hbe	0	0
BxSapB1	pdb2l09	1	0.969
Bx_cpl_2_2	pdb2kct	0	0.161
Bx_Prx_2	pdb2l07	0	0.053
I0QT18_9GAMM	pdb2mbm	0	0.008
Bx_cpl_1_5	pdb5vso	0	0.123
I4MYK4_9PSED	pdb2kpn	0	0.045
Bx_cpl_1_2	pdb2l0a	0	0.011
Bx_tlp_1_4	pdb8ftw	1	0.961
BxCYP33D3_4	pdb7y55	0	nan
BxCYP33C4_4	pdb7jyn	0	0.011
BxATG9_2	pdb2lcg	0	0.238
BxCYP33C4_5	pdb2lnb	1	0.618
Bx_tlp_1_4	pdb6xr6	1	0.971
BxPel1_5	pdb7qcb	0	0.169
Bx_cpl_2_4	pdb5ks6	0	0.243
BxPel1_2	pdb2nbn	0	0.009
BxATG8_5	pdb3sdt	0	0
I4N5T3_9PSED	pdb2lfi	0	0.078
SapB3_3	pdb3hbd	0	0.3
BxCYP33C4_5	pdb8s9c	0	nan
I0QQT8_9GAMM	pdb2lxu	0	0.011
Bx_tlp_1_5	pdb1xes	0	nan
Bx_Prx_3	pdb6ppt	0	0.235
I4N5T3_9PSED	pdb6prq	0	0.094
I0QYY0_9GAMM	pdb7mzx	1	0.915
Bx_tlp_1_3	pdb6xr7	1	0.979
Bx_cpl_2_5	pdb6amv	0	0.393
I0QYY0_9GAMM	pdb2l5q	1	0.928
A0A1I7RL98_BURXY	pdb2lso	0	0
A0A1I7RIV0_BURXY	pdb1u0u	0	nan
BxATG16_5	pdb2kt8	0	0
I4N5X7_9PSED	pdb6xrg	0	0.011
A0A1I7RT14_BURXY	pdb6pri	0	0.002
A0A1I7RIV0_BURXY	pdb3sdt	0	0.005
BxATG1_4	pdb2luz	0	0
BxCYP33C9_3	pdb2mk2	0	0
I0QM84_9GAMM	pdb2kpm	0	0.077
Bx_cpl_1_5	pdb3sdt	0	0.243
A0A1I7S162_BURXY	pdb2nt1	0	nan
SapB3_5	pdb3sdt	0	0.425
Bx_cpl_2_5	pdb2kd1	0	0.423
BxATG9_2	pdb2loy	0	0.223
BxCYP33D3_3	pdb2mry	1	0.592
A0A1I7S6H9_BURXY	pdb5kp0	0	0.054
BxATG8_1	pdb3sdv	0	0
A0A1I7RYC6_BURXY	pdb6nzl	0	0.011
Bx_tlp_1_3	pdb6kna	1	0.952
SapB3_1	pdb7lu8	0	0.051
A0A1I7SCF8_BURXY	pdb7wcg	1	0.935
I0QNP5_9GAMM	pdb7m5t	0	0.042
A0A1I7SCF8_BURXY	pdb7y55	0	nan
Bx_cpl_2_2	pdb2l09	0	0.196
Bx_tlp_1_2	pdb3hbd	0	0.032
I0QWV1_9GAMM	pdb1u0u	0	nan
Bx_cpl_3_3	pdb2kzw	1	0.853
BxPel1_3	pdb6wlf	0	nan
Bx_cpl_1_4	pdb2llf	0	0.008
A0A1I7S6H9_BURXY	pdb2lek	0	0.078
BxATG16_1	pdb2lx7	0	0
A0A1I7SCA3_BURXY	pdb6pri	0	0
A0A1I7RKM9_BURXY	pdb2l09	0	0.335
BxCYP33C9_2	pdb7lu8	1	0.507
BxATG9_3	pdb2ltd	0	nan
BxATG8_4	pdb6amw	0	0
Bx_Prx_1	pdb2m1l	0	nan
I4N4M3_9PSED	pdb2mry	0	0.001
BxPel1_3	pdb7jyz	0	0.011
Bx_cpl_2_1	pdb5zau	0	0.054
BxATG8_5	pdb3hbe	0	0
Bx_cpl_1_1	pdb6amw	0	0.016
I4N4M3_9PSED	pdb2l3f	0	0.003
BxCYP33C4_2	pdb3sdv	0	0.076
BxATG1_4	pdb2mbl	0	0
I0QM84_9GAMM	pdb2n69	0	0.072
I0QWV1_9GAMM	pdb5zau	0	0.054
A0A7I8WZ01_BURXY	pdb2ksh	0	0.001
SapB3_4	pdb6cgh	0	0.004
BxATG9_3	pdb2lok	0	0.035
I4N4Q3_9PSED	pdb6iwj	0	nan
Bx_tlp_1_1	pdb6amv	0	0.035
Bx_tlp_1_5	pdb2l3f	1	0.966
Bx_cpl_1_4	pdb2kif	0	0.009
BxATG16_3	pdb3sdt	1	0.957
BxATG8_5	pdb2ll8	0	0
BxATG1_1	pdb6tfb	0	nan
BxSapB1_4	pdb6xrg	0	0.324
SapB3_2	pdb6j4i	0	0.034
BxCYP33D3_5	pdb3sdq	0	0.315
I0QYP7_9GAMM	pdb2kzv	0	0.003
BxCYP33C9_5	pdb2nsx	0	nan
BxATG16_2	pdb2kvo	0	0.003
Bx_Prx_4	pdb2l9p	0	0.015
I4N5T3_9PSED	pdb2n66	0	0.053
BxCYP33C9_2	2kyq	1	0.72
BxCYP33C4_5	pdb1xes	0	nan
BxCYP33D3_5	pdb2lni	0	0.342
A0A1I7RIV0_BURXY	pdb6nzl	0	0.002
A0A1I7SF60_BURXY	pdb2kt1	0	0
BxSapB1_5	pdb6ppt	0	0.063
Bx_cpl_2_1	pdb2lnb	0	0.037
I0QWV1_9GAMM	pdb1xes	0	nan
cyp_33C9_5	pdb2m01	0	0.235
BxATG9_4	pdb2kpn	0	0.037
SapB3_4	pdb6e4h	0	nan
A0A1I7RJ71_BURXY	pdb6xrg	0	0
BxATG9_2	pdb7lu8	0	0.239
BxPel1_2	pdb2l09	0	0.012
BxCYP33C4_3	pdb2ltd	0	nan
I4N4M3_9PSED	pdb2n3j	0	nan
BxCYP33D3_4	pdb2lok	0	0.099
BxATG9_1	pdb7n99	0	0
cyp_33C9_5	pdb2lcg	0	0.311
BxCYP33C9_3	pdb2l05	0	0
A0A1I7S5S3_BURXY	pdb2kt7	0	0.006
cyp_33C9_4	pdb2lw4	0	0.208
BxATG9_5	pdb2nsx	0	nan
Bx_cpl_1_5	pdb2mh2	0	0.269
A0A1I7SF60_BURXY	pdb6wlf	0	nan
Bx_Prx_3	pdb8ftx	0	0.481
A0A1I7RL98_BURXY	pdb2kzw	0	0
A0A1I7RL37_BURXY	pdb6jxu	0	0.431
I0QQT8_9GAMM	pdb2mbm	0	0.007
Bx_tlp_1_2	pdb7qcb	0	0.062
Bx_tlp_1_5	pdb7n99	1	0.941
A0A1I7RT14_BURXY	pdb2lni	0	0.003
Bx_Prx_4	pdb2ko1	0	nan
A0A1I7S412_BURXY	pdb2l82	0	0
A0A1I7RT14_BURXY	pdb2ll8	0	0.002
A0A1I7S9L6_BURXY	pdb2kpt	0	0
BxATG16_1	pdb2kwb	0	0
Bx_cpl_2_1	pdb6tfb	0	nan
Bx_tlp_1_3	pdb7qcc	1	0.894
BxATG1_2	pdb2n75	0	0
BxCYP33C9_4	pdb6psi	0	nan
BxCYP33C9_3	pdb2llf	0	0
BxCYP33C9_2	pdb7knv	1	0.507
BxCYP33C4_5	pdb2lok	1	0.74
BxPel1_1	pdb3hbh	0	0
I0QYY0_9GAMM	pdb2kru	1	0.931
A0A1I7SCF8_BURXY	pdb6amv	1	0.965
Bx_tlp_1_2	pdb1qyc	0	nan
Bx_tlp_1_3	pdb2lni	1	0.95
BxATG16_1	pdb2l82	0	0
I0QMH2_9GAMM	pdb2l9q	1	0.539
BxSapB1_5	pdb2n75	0	0.073
Bx_Prx_5	pdb2kvo	0	0.41
A0A1I7RL98_BURXY	pdb2kt8	0	0
BxATG8_1	pdb2mm6	0	0
BxPel1_1	pdb2kru	0	0
cyp_33C9_2	pdb6o6w	1	0.84
Bx_cpl_2_2	pdb7y55	0	nan
BxCYP33C4_2	pdb2lak	0	0.081
Bx_cpl_3_3	pdb2m8x	1	0.849
I0QYP7_9GAMM	pdb2kct	0	0.005
A0A1I7S162_BURXY	pdb2kpt	0	0.002
I4N4M3_9PSED	pdb2kkq	0	0.001
SapB3_5	pdb2kzw	0	0.272
BxATG9_4	pdb2kd1	0	0.052
Bx_cpl_3_1	pdb6iwj	0	nan
BxATG1_2	pdb2kt1	0	0
BxATG9_3	pdb2lnz	0	nan
Bx_Prx_3	pdb2kim	0	0.285
SapB3_2	pdb6e4j	0	0.034
BxCYP33C4_2	pdb2kz5	0	0.114
Bx_cpl_3_2	pdb6amw	0	0
BxATG9_5	pdb2nbn	0	0.271
I0QT18_9GAMM	pdb6prj	0	0.011
SapB3_1	pdb2ljl	0	0.043
BxATG8_5	pdb2lw4	0	0
BxATG16_5	pdb2kl6	0	0
BxPel1_3	pdb6psi	0	nan
Bx_cpl_3_3	pdb2nsx	0	nan
cyp_33C9_3	6dxa	0	nan
A0A1I7RT14_BURXY	pdb8c29	0	nan
BxSapB1	pdb2lfi	1	0.973
Bx_cpl_2_1	pdb2luz	0	0.041
A0A1I7RIV0_BURXY	pdb2kwb	0	0.006
Bx_cpl_1_2	2kyq	0	0.043
BxCYP33D3_1	pdb2loy	0	0.009
BxCYP33C4_2	pdb2m01	0	0.105
BxSapB1_4	pdb2m16	0	0.243
BxPel1_1	7mzw	0	0
Bx_cpl_2_4	pdb6nzl	0	0.148
